OTU ID,37,38,39,40,41,42,43,44,45,46,47,48,91,92,93,94,95,96,97,98,99,100,101,102,taxonomy
ASV24,147,90,79,79,185,77,53,202,133,80,177,214,137,146,68,85,200,164,112,132,101,47,104,121,d__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Thermosporotrichaceae; g__Thermosporothrix; s__uncultured Thermosporothrix sp.
ASV25,89,139,32,169,91,232,70,80,107,29,67,76,35,56,286,63,78,192,85,291,238,66,204,137,d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces sp.
ASV26,268,0,0,291,296,0,0,525,453,0,392,395,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV27,164,103,112,173,164,204,170,81,84,43,70,69,51,45,91,61,88,76,62,72,119,115,637,59,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus megaterium
ASV28,107,134,244,98,111,163,116,132,61,59,79,87,64,133,91,66,85,131,78,143,135,102,149,89,d__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured Nitrospira sp.
ASV29,279,113,646,158,212,139,216,158,0,0,0,81,0,25,120,60,0,0,85,0,95,27,124,83,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__uncultured Bacillus sp.
ASV30,131,122,82,154,118,96,194,108,80,87,121,131,76,80,74,103,105,84,78,136,76,162,83,91,d__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__uncultured Rubrobacter sp.
ASV31,127,51,0,89,116,0,0,0,124,172,235,116,153,120,88,230,96,134,150,70,131,0,228,129,d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Desulfuromonadaceae; g__Pelobacter; s__uncultured Pelobacter sp.
ASV32,79,73,131,98,74,21,147,103,132,154,98,88,86,123,113,104,165,102,111,51,115,72,59,104,d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__uncultured Gemmatimonas sp.
ASV33,151,97,131,137,108,155,159,115,103,59,112,124,66,67,68,57,87,133,60,97,34,91,91,96,d__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__uncultured Rubrobacter sp.
