sampleID,OD600
RSA89+SA,0.368600011
RSA89+SA,0.372000009
RSA89+SA,0.385199994
RSA89+SA,0.388599992
RSA89+SA,0.391900003
RSA89+SA,0.392500013
RSA89,0.46509999
RSA89,0.459600002
RSA89,0.457500011
RSA89,0.447100013
RSA89,0.4454
RSA89,0.441300005
